,Year,Country,Domestic Consumption,Exports,Import Price,Export Price,Total Production
0,2015,Argentina,13051.0,14887.0,2.6,2.7,26614.0
1,2015,Argentina,13131.0,15055.0,2.6,3.0,27019.0
2,2015,Argentina,13305.0,15075.0,2.7,,27232.0
3,2015,Brazil,21070.0,36806.0,1.9,1.9,54721.0
4,2015,Canada,18063.0,21734.0,3.9,4.0,38987.0
5,2015,Canada,18196.0,21771.0,4.0,,38665.0
6,2015,Canada,18417.0,21900.0,3.8,3.9,38873.0
7,2015,Chile,6935.0,9171.0,2.4,2.6,14991.0
8,2015,Chile,6935.0,,2.4,2.6,14991.0
9,2015,Chile,7123.0,8880.0,2.7,2.8,14481.0
10,2015,Chile,6705.0,8511.0,2.3,3.0,14525.0
11,2015,Chile,,9475.0,2.7,2.8,14760.0
12,2015,China,119858.0,85210.0,2.9,3.3,200382.0
13,2015,China,120100.0,85224.0,2.9,3.2,200110.0
14,2015,China,119776.0,85031.0,3.0,3.5,
15,2015,China,119840.0,85256.0,3.0,3.3,199781.0
16,2015,Colombia,4159.0,10830.0,2.0,2.4,14091.0
17,2015,Colombia,4159.0,10830.0,2.0,2.4,14091.0
18,2015,Colombia,3603.0,10982.0,2.0,2.5,13872.0
19,2015,Colombia,4292.0,11415.0,2.3,2.0,14044.0
20,2015,Colombia,4093.0,10984.0,1.9,2.3,14507.0
21,2015,Colombia,4046.0,10693.0,1.9,2.2,14201.0
22,2015,Ethiopia,3593.0,6585.0,1.8,2.0,6759.0
23,2015,France,28801.0,31089.0,3.3,3.6,58076.0
24,2015,France,28615.0,31165.0,3.3,3.4,58270.0
25,2015,France,28712.0,31485.0,3.2,3.9,57737.0
26,2015,France,29101.0,30602.0,3.7,3.7,58576.0
27,2015,Germany,8514.0,11030.0,3.2,3.5,0.0
28,2015,Germany,8514.0,11030.0,3.2,3.5,0.0
29,2015,Germany,8887.0,11273.0,3.4,3.6,0.0
30,2015,Germany,8396.0,10988.0,3.0,3.7,0.0
31,2015,Germany,8197.0,10984.0,3.5,3.4,
32,2015,Germany,8121.0,11043.0,3.1,3.7,0.0
33,2015,India,45113.0,24721.0,2.4,2.7,68074.0
34,2015,India,44715.0,24646.0,2.7,2.6,67970.0
35,2015,Indonesia,27930.0,32184.0,2.3,2.4,57766.0
36,2015,Indonesia,27516.0,31859.0,2.2,2.6,58255.0
37,2015,Indonesia,27767.0,31918.0,2.3,2.3,58385.0
38,2015,Indonesia,28169.0,31936.0,,2.3,58125.0
39,2015,Italy,,26101.0,3.4,3.6,47869.0
40,2015,Italy,23513.0,26132.0,3.6,3.4,47986.0
41,2015,Italy,23882.0,,3.6,3.5,47882.0
42,2015,Kenya,8073.0,,2.1,2.2,19376.0
43,2015,Kenya,8068.0,12322.0,2.0,2.0,18615.0
44,2015,Kenya,7944.0,11797.0,2.3,,
45,2015,Kenya,7741.0,12325.0,1.9,2.4,19114.0
46,2015,Kenya,7726.0,12273.0,1.9,2.2,18778.0
47,2015,Kenya,7509.0,11983.0,2.1,1.9,18559.0
48,2015,Mexico,32145.0,35264.0,3.4,3.6,65054.0
49,2015,Mexico,32115.0,34541.0,3.5,3.4,64507.0
50,2015,Peru,,8118.0,2.5,2.5,12830.0
51,2015,Peru,5783.0,7620.0,2.5,2.5,12564.0
52,2015,Peru,6465.0,,2.2,2.8,13584.0
53,2015,Peru,6392.0,,2.2,2.5,12647.0
54,2015,South Africa,11100.0,12764.0,2.6,2.9,22728.0
55,2015,South Africa,10890.0,12848.0,2.6,2.9,
56,2015,South Africa,10614.0,12708.0,2.6,2.9,22636.0
57,2015,South Africa,10595.0,13225.0,2.8,2.6,23217.0
58,2015,Thailand,16095.0,24037.0,2.4,2.6,38816.0
59,2015,Thailand,16095.0,24037.0,2.4,,38816.0
60,2015,Thailand,16407.0,24147.0,2.6,2.9,38636.0
61,2015,Turkey,19150.0,20970.0,2.7,,38301.0
62,2015,Turkey,19470.0,21324.0,3.1,3.1,37800.0
63,2015,USA,24902.0,,4.6,0.0,0.0
64,2015,USA,25244.0,0.0,4.4,0.0,0.0
65,2015,USA,,0.0,4.4,0.0,0.0
66,2015,USA,24831.0,0.0,4.2,0.0,0.0
67,2015,Vietnam,14989.0,28262.0,2.2,2.5,42104.0
68,2015,Vietnam,15090.0,27526.0,2.4,2.6,41786.0
69,2015,Vietnam,15267.0,27859.0,2.3,2.3,42345.0
